iter	Passed	Remaining
306	807	1822
307	808	1816
308	809	1810
309	811	1806
310	813	1803
311	816	1800
312	819	1798
313	821	1795
314	823	1791
315	826	1788
316	828	1784
317	830	1781
318	832	1777
319	834	1773
320	836	1769
321	838	1766
322	840	1761
323	841	1755
324	843	1750
325	844	1746
326	846	1741
327	847	1736
328	849	1732
329	851	1728
330	852	1722
331	854	1719
332	855	1714
333	858	1711
334	860	1707
335	862	1704
336	864	1700
337	866	1696
338	868	1693
339	869	1687
340	870	1683
341	872	1679
342	874	1675
343	876	1671
344	878	1667
345	879	1662
346	881	1658
347	883	1655
348	886	1653
349	888	1649
350	891	1647
351	893	1645
352	895	1642
353	898	1638
354	900	1635
355	902	1633
356	904	1628
357	905	1623
358	906	1618
359	907	1613
360	908	1608
361	909	1603
362	911	1599
363	913	1596
364	915	1592
365	917	1588
366	918	1584
367	920	1580
368	922	1577
369	924	1573
370	926	1569
371	928	1567
372	929	1563
373	931	1559
374	932	1554
375	934	1551
376	936	1547
377	938	1544
378	940	1540
379	942	1537
380	943	1533
381	944	1528
382	947	1525
383	949	1523
384	964	1539
385	966	1538
386	970	1537
387	972	1533
388	974	1530
389	976	1527
390	977	1523
391	979	1519
392	981	1516
393	983	1513
394	986	1511
395	987	1506
396	989	1503
397	992	1501
398	994	1498
399	995	1493
400	998	1491
401	1000	1488
402	1003	1486
403	1006	1484
404	1008	1482
405	1010	1478
406	1012	1475
407	1015	1473
408	1017	1470
409	1019	1467
410	1021	1463
411	1024	1461
412	1026	1458
413	1028	1455
414	1029	1451
415	1031	1448
416	1033	1445
417	1036	1443
418	1039	1441
419	1041	1438
420	1043	1434
421	1046	1432
422	1048	1430
423	1051	1428
424	1054	1426
425	1056	1424
426	1059	1421
427	1061	1418
428	1064	1417
429	1066	1414
430	1068	1411
431	1070	1408
432	1073	1405
433	1075	1402
434	1077	1400
435	1081	1398
436	1082	1394
437	1083	1389
438	1085	1387
439	1087	1383
440	1090	1381
441	1091	1377
442	1092	1373
443	1094	1370
444	1097	1368
445	1099	1366
446	1102	1363
447	1104	1361
448	1106	1357
449	1108	1355
450	1111	1352
451	1113	1350
452	1116	1347
453	1118	1345
454	1120	1342
455	1123	1340
456	1125	1336
457	1127	1333
458	1128	1330
459	1131	1328
460	1132	1324
461	1133	1320
462	1136	1317
463	1138	1315
464	1140	1312
465	1141	1308
466	1143	1305
467	1144	1300
468	1146	1298
469	1149	1295
470	1151	1293
471	1153	1290
472	1155	1287
473	1157	1284
474	1159	1281
475	1161	1278
476	1163	1275
477	1165	1272
478	1168	1270
479	1170	1267
480	1171	1264
481	1173	1261
482	1175	1258
483	1177	1255
484	1179	1252
485	1181	1249
486	1183	1246
487	1185	1244
488	1188	1241
489	1190	1239
490	1192	1236
491	1194	1233
492	1197	1231
493	1200	1229
494	1202	1226
495	1204	1223
496	1206	1220
497	1208	1217
498	1210	1215
499	1212	1212
500	1214	1209
501	1216	1206
502	1218	1203
503	1220	1201
504	1222	1197
505	1223	1194
506	1225	1191
507	1227	1189
508	1229	1186
509	1231	1183
510	1233	1180
511	1235	1177
512	1237	1174
513	1239	1171
514	1240	1168
515	1241	1164
516	1242	1161
517	1245	1158
518	1247	1155
519	1249	1153
520	1252	1151
521	1254	1149
522	1257	1146
523	1259	1144
524	1262	1141
525	1264	1139
526	1266	1136
527	1268	1134
528	1270	1131
529	1273	1129
530	1276	1127
531	1278	1124
532	1280	1121
533	1282	1119
534	1284	1116
535	1286	1113
536	1288	1111
537	1290	1108
538	1292	1105
539	1294	1103
540	1296	1100
541	1298	1097
542	1300	1094
543	1302	1092
544	1304	1088
545	1306	1086
546	1307	1083
547	1309	1080
548	1312	1078
549	1315	1076
550	1317	1073
551	1321	1072
552	1323	1069
553	1325	1067
554	1328	1065
555	1330	1062
556	1333	1060
557	1335	1057
558	1337	1055
559	1339	1052
560	1341	1050
561	1343	1047
562	1345	1044
563	1347	1041
564	1349	1038
565	1351	1036
566	1353	1033
567	1355	1030
568	1356	1027
569	1358	1025
570	1361	1022
571	1363	1020
572	1365	1017
573	1367	1014
574	1369	1012
575	1371	1009
576	1372	1006
577	1376	1005
578	1379	1002
579	1381	1000
580	1384	998
581	1387	996
582	1389	993
583	1391	990
584	1393	988
585	1395	985
586	1396	982
587	1398	980
588	1401	977
589	1402	974
590	1404	972
591	1406	969
592	1408	966
593	1410	963
594	1411	961
595	1413	958
596	1416	955
597	1417	953
598	1419	950
599	1421	947
600	1423	945
601	1425	942
602	1427	939
603	1429	937
604	1431	934
605	1434	932
606	1436	930
607	1439	927
608	1440	925
609	1443	923
610	1446	920
611	1448	918
612	1451	916
613	1453	913
614	1455	911
615	1458	909
616	1461	907
617	1464	905
618	1466	902
619	1469	900
620	1471	898
621	1473	895
622	1475	893
623	1478	890
624	1480	888
625	1483	886
626	1486	884
627	1488	881
628	1491	879
629	1492	876
630	1495	874
631	1497	871
632	1499	869
633	1502	867
634	1503	864
635	1505	861
636	1507	859
637	1509	856
638	1512	854
639	1513	851
640	1516	849
641	1518	846
642	1520	844
643	1523	842
644	1525	839
645	1528	837
646	1530	834
647	1532	832
648	1535	830
649	1537	827
650	1540	825
651	1542	823
652	1544	820
653	1546	818
654	1548	815
655	1550	813
656	1552	810
657	1554	807
658	1556	805
659	1557	802
660	1559	799
661	1561	797
662	1563	794
663	1566	792
664	1568	790
665	1570	787
666	1573	785
667	1575	783
668	1578	780
669	1580	778
670	1583	776
671	1584	773
672	1587	771
673	1589	768
674	1591	766
675	1593	763
676	1595	761
677	1597	758
678	1599	756
679	1601	753
680	1603	751
681	1605	748
682	1607	746
683	1609	743
684	1611	740
685	1613	738
686	1615	735
687	1617	733
688	1619	731
689	1621	728
690	1623	725
691	1625	723
692	1628	721
693	1630	718
694	1631	716
695	1634	713
696	1637	711
697	1639	709
698	1642	707
699	1644	704
700	1646	702
701	1648	699
702	1651	697
703	1653	695
704	1655	692
705	1656	690
706	1658	687
707	1660	684
708	1662	682
709	1664	679
710	1666	677
711	1668	675
712	1670	672
713	1672	670
714	1674	667
715	1676	665
716	1678	662
717	1680	659
718	1682	657
719	1684	655
720	1686	652
721	1688	650
722	1690	647
723	1692	645
724	1694	642
725	1696	640
726	1698	637
727	1700	635
728	1702	633
729	1705	630
730	1707	628
731	1709	625
732	1711	623
733	1713	621
734	1715	618
735	1717	616
736	1719	613
737	1721	611
738	1722	608
739	1724	606
740	1726	603
741	1729	601
742	1730	598
743	1732	596
744	1735	594
745	1737	591
746	1739	589
747	1741	586
748	1742	584
749	1745	581
750	1746	579
751	1748	576
752	1751	574
753	1753	572
754	1755	569
755	1758	567
756	1760	565
757	1762	562
758	1765	560
759	1767	558
760	1769	555
761	1771	553
762	1773	551
763	1776	548
764	1779	546
765	1781	544
766	1783	541
767	1785	539
768	1787	536
769	1789	534
770	1791	532
771	1793	529
772	1795	527
773	1797	524
774	1799	522
775	1801	520
776	1804	517
777	1811	516
778	1819	516
779	1833	517
780	1838	515
781	1844	514
782	1851	513
783	1861	512
784	1868	511
785	1872	509
786	1875	507
787	1880	505
788	1884	503
789	1887	501
790	1892	499
791	1895	497
792	1922	501
793	1926	499
794	1929	497
795	1932	495
796	1936	493
797	1939	490
798	1942	488
799	1945	486
800	1950	484
801	1953	482
802	1956	479
803	1960	477
804	1964	475
805	1967	473
806	1969	471
807	1972	468
808	1976	466
809	1978	464
810	1981	461
811	1984	459
812	1986	456
813	1988	454
814	1991	452
815	1994	449
816	1996	447
817	1999	444
818	2002	442
819	2005	440
820	2008	437
821	2010	435
822	2012	432
823	2015	430
824	2018	428
825	2020	425
826	2023	423
827	2026	420
828	2030	418
829	2032	416
830	2036	414
831	2039	411
832	2042	409
833	2043	406
834	2045	404
835	2047	401
836	2049	399
837	2051	396
838	2053	394
839	2055	391
840	2057	389
841	2059	386
842	2061	383
843	2063	381
844	2065	378
845	2067	376
846	2069	373
847	2071	371
848	2074	369
849	2077	366
850	2080	364
851	2082	361
852	2084	359
853	2087	356
854	2089	354
855	2091	351
856	2094	349
857	2096	346
858	2097	344
859	2099	341
860	2101	339
861	2103	336
862	2106	334
863	2108	331
864	2110	329
865	2112	326
866	2114	324
867	2116	321
868	2118	319
869	2120	316
870	2122	314
871	2124	311
872	2126	309
873	2128	306
874	2130	304
875	2133	301
876	2135	299
877	2138	297
878	2140	294
879	2143	292
880	2145	289
881	2147	287
882	2150	284
883	2153	282
884	2155	280
885	2157	277
886	2160	275
887	2162	272
888	2163	270
889	2165	267
890	2168	265
891	2170	262
892	2172	260
893	2174	257
894	2175	255
895	2178	252
896	2180	250
897	2182	247
898	2183	245
899	2186	242
900	2188	240
901	2190	237
902	2191	235
903	2193	232
904	2195	230
905	2197	227
906	2199	225
907	2201	223
908	2203	220
909	2205	218
910	2207	215
911	2209	213
912	2212	210
913	2215	208
914	2217	206
915	2219	203
916	2222	201
917	2224	198
918	2226	196
919	2229	193
920	2231	191
921	2233	188
922	2234	186
923	2236	183
924	2239	181
925	2240	179
926	2242	176
927	2245	174
928	2246	171
929	2248	169
930	2250	166
931	2252	164
932	2255	161
933	2256	159
934	2258	157
935	2260	154
936	2262	152
937	2264	149
938	2267	147
939	2270	144
940	2272	142
941	2275	140
942	2277	137
943	2279	135
944	2281	132
945	2284	130
946	2286	127
947	2288	125
948	2290	123
949	2292	120
950	2294	118
951	2297	115
952	2299	113
953	2301	110
954	2303	108
955	2305	106
956	2309	103
957	2312	101
958	2314	98
959	2317	96
960	2320	94
961	2323	91
962	2326	89
963	2328	86
964	2331	84
965	2334	82
966	2336	79
967	2338	77
968	2341	74
969	2343	72
970	2346	70
971	2348	67
972	2350	65
973	2353	62
974	2356	60
975	2359	58
976	2362	55
977	2364	53
978	2366	50
979	2368	48
980	2371	45
981	2374	43
982	2376	41
983	2378	38
984	2381	36
985	2383	33
986	2386	31
987	2387	29
988	2389	26
989	2391	24
990	2393	21
991	2394	19
992	2396	16
993	2398	14
994	2401	12
995	2403	9
996	2405	7
997	2408	4
998	2410	2
999	2412	0
