iter	Passed	Remaining
0	82	82695
1	124	62120
2	170	56623
3	218	54388
4	268	53415
5	319	52863
6	365	51848
7	430	53400
8	478	52681
9	528	52291
10	569	51230
11	611	50327
12	652	49554
13	692	48785
14	734	48247
15	775	47665
16	818	47340
17	864	47139
18	910	47010
19	955	46822
20	997	46503
21	1041	46279
22	1082	45968
23	1122	45643
24	1164	45412
25	1208	45277
26	1255	45232
27	1299	45105
28	1341	44908
29	1388	44898
30	1431	44753
31	1470	44482
32	1511	44291
33	1554	44174
34	1602	44186
35	1644	44025
36	1681	43761
37	1721	43583
38	1763	43465
39	1804	43298
40	1846	43190
41	1888	43065
42	1929	42934
43	1969	42794
44	2021	42902
45	2067	42877
46	2114	42874
47	2162	42885
48	2206	42814
49	2251	42777
50	2290	42620
51	2329	42463
52	2369	42337
53	2409	42213
54	2451	42129
55	2495	42067
56	2540	42024
57	2587	42019
58	2631	41970
59	2673	41880
60	2715	41804
61	2757	41718
62	2799	41634
63	2841	41559
64	2887	41540
65	2933	41512
66	2971	41383
67	3010	41257
68	3052	41189
69	3094	41116
70	3137	41047
71	3180	40995
72	3223	40935
73	3264	40852
74	3308	40807
75	3351	40744
76	3392	40660
77	3431	40558
78	3468	40434
79	3508	40349
80	3554	40324
81	3597	40270
82	3636	40176
83	3676	40094
84	3719	40040
85	3765	40017
86	3806	39943
87	3844	39845
88	3883	39751
89	3919	39630
90	3960	39560
91	3999	39474
92	4060	39596
93	4106	39574
94	4148	39515
95	4191	39465
96	4230	39382
97	4270	39303
98	4312	39248
99	4356	39206
100	4399	39160
101	4443	39118
102	4489	39099
103	4536	39080
104	4586	39091
105	4627	39024
106	4670	38976
107	4709	38893
108	4750	38833
109	4792	38773
110	4834	38723
111	4871	38621
112	4910	38544
113	4948	38461
114	4987	38383
115	5030	38335
116	5069	38257
117	5111	38209
118	5150	38133
119	5188	38050
120	5226	37968
121	5264	37884
122	5300	37793
123	5339	37722
124	5381	37667
125	5415	37566
126	5455	37499
127	5492	37417
128	5532	37357
129	5570	37281
130	5612	37231
131	5650	37158
