iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	170	182	170	340	170	182	340
1	222	283	222	340	222	283	340
2	235	297	235	340	235	297	340
3	244	318	244	340	244	318	340
4	240	299	240	340	240	299	340
5	238	288	238	340	238	288	340
6	238	288	238	340	238	288	340
7	239	290	239	340	239	290	340
8	241	294	241	340	241	294	340
9	240	293	240	340	240	293	340
10	241	296	241	340	241	296	340
11	238	286	238	340	238	286	340
12	239	286	239	340	239	286	340
13	240	287	240	340	240	287	340
14	240	287	240	340	240	287	340
15	240	288	240	340	240	288	340
16	242	291	242	340	242	291	340
17	240	292	240	340	240	292	340
18	239	285	239	340	239	285	340
19	240	287	240	340	240	287	340
20	239	283	239	340	239	283	340
21	241	289	241	340	241	289	340
22	241	292	241	340	241	292	340
23	241	290	241	340	241	290	340
24	241	290	241	340	241	290	340
25	240	285	240	340	240	285	340
26	240	285	240	340	240	285	340
27	241	290	241	340	241	290	340
28	241	290	241	340	241	290	340
29	241	289	241	340	241	289	340
30	241	289	241	340	241	289	340
31	241	288	241	340	241	288	340
32	241	288	241	340	241	288	340
33	241	288	241	340	241	288	340
34	242	289	242	340	242	289	340
35	243	290	243	340	243	290	340
36	243	290	243	340	243	290	340
37	243	290	243	340	243	290	340
38	244	291	244	340	244	291	340
39	244	291	244	340	244	291	340
40	243	290	243	340	243	290	340
41	243	290	243	340	243	290	340
42	243	290	243	340	243	290	340
43	243	290	243	340	243	290	340
44	245	292	245	340	245	292	340
45	245	292	245	340	245	292	340
46	246	293	246	340	246	293	340
47	246	294	246	340	246	294	340
48	246	293	246	340	246	293	340
49	246	293	246	340	246	293	340
50	246	295	246	340	246	295	340
51	246	295	246	340	246	295	340
52	246	295	246	340	246	295	340
53	246	294	246	340	246	294	340
54	246	294	246	340	246	294	340
55	246	294	246	340	246	294	340
56	246	294	246	340	246	294	340
57	246	293	246	340	246	293	340
58	246	293	246	340	246	293	340
59	246	293	246	340	246	293	340
60	246	293	246	340	246	293	340
61	246	293	246	340	246	293	340
62	246	289	246	340	246	289	340
63	246	289	246	340	246	289	340
64	246	291	246	340	246	291	340
65	246	292	246	340	246	292	340
66	246	291	246	340	246	291	340
67	246	292	246	340	246	292	340
68	246	292	246	340	246	292	340
69	246	292	246	340	246	292	340
70	246	292	246	340	246	292	340
71	246	292	246	340	246	292	340
72	246	292	246	340	246	292	340
73	246	292	246	340	246	292	340
74	246	292	246	340	246	292	340
75	246	292	246	340	246	292	340
76	246	292	246	340	246	292	340
77	246	292	246	340	246	292	340
78	246	292	246	340	246	292	340
79	246	292	246	340	246	292	340
80	246	292	246	340	246	292	340
81	246	292	246	340	246	292	340
82	246	292	246	340	246	292	340
83	246	292	246	340	246	292	340
84	246	292	246	340	246	292	340
85	246	292	246	340	246	292	340
86	246	292	246	340	246	292	340
87	246	292	246	340	246	292	340
88	246	292	246	340	246	292	340
89	246	292	246	340	246	292	340
90	246	292	246	340	246	292	340
91	246	292	246	340	246	292	340
92	246	292	246	340	246	292	340
93	246	292	246	340	246	292	340
94	246	292	246	340	246	292	340
95	247	293	247	340	247	293	340
96	246	292	246	340	246	292	340
97	245	291	245	340	245	291	340
98	244	289	244	340	244	289	340
99	244	289	244	340	244	289	340
100	244	289	244	340	244	289	340
101	246	290	246	340	246	290	340
102	246	291	246	340	246	291	340
103	245	289	245	340	245	289	340
104	246	290	246	340	246	290	340
