iter	Logloss	Accuracy
0	0.6835416595	0.7952755906
1	0.675531447	0.8008998875
2	0.664488576	0.816647919
3	0.6567929327	0.811023622
4	0.6471505456	0.822272216
5	0.6386304947	0.8312710911
6	0.6297369088	0.8312710911
7	0.6205639037	0.8312710911
8	0.6115525192	0.8323959505
9	0.6052210585	0.8312710911
10	0.596817143	0.8312710911
11	0.5895224754	0.8346456693
12	0.5814626724	0.8380202475
13	0.5754265329	0.8357705287
14	0.5697075497	0.8380202475
15	0.5649030048	0.8368953881
16	0.5583108009	0.8391451069
17	0.5530212413	0.8346456693
18	0.5476324416	0.8391451069
19	0.5413016037	0.8368953881
20	0.5365690529	0.8380202475
21	0.5314511985	0.8380202475
22	0.5279051437	0.8357705287
23	0.5227262825	0.8380202475
24	0.5176559554	0.8391451069
25	0.5139853101	0.8402699663
26	0.5094820125	0.8402699663
27	0.5074965772	0.8368953881
28	0.5044370392	0.8368953881
29	0.4997681223	0.8380202475
30	0.4955230455	0.8391451069
31	0.4920370928	0.8391451069
32	0.489336436	0.8402699663
33	0.4871133344	0.8391451069
34	0.4841312927	0.8402699663
35	0.4814722122	0.8402699663
36	0.4778367857	0.8402699663
37	0.4759946	0.8402699663
38	0.4732845454	0.8402699663
39	0.4716258214	0.8402699663
40	0.46889298	0.8402699663
41	0.4665231602	0.842519685
42	0.4643064717	0.842519685
43	0.4630067686	0.842519685
44	0.4608757971	0.8447694038
45	0.4589652249	0.8447694038
46	0.457075973	0.8436445444
47	0.4543432482	0.8447694038
48	0.4525204688	0.8447694038
49	0.4504872098	0.8447694038
50	0.4483649634	0.8436445444
51	0.4476449709	0.8447694038
52	0.4464760799	0.8447694038
53	0.4449044421	0.8447694038
54	0.4433781681	0.8436445444
55	0.4413835145	0.8447694038
56	0.4407348324	0.8436445444
57	0.4396463423	0.8447694038
58	0.4383110229	0.8447694038
59	0.4362349832	0.8436445444
60	0.4344062307	0.8447694038
61	0.4331362195	0.8447694038
62	0.431096112	0.8447694038
63	0.4291226821	0.8458942632
64	0.4282503277	0.8458942632
65	0.4272063715	0.8458942632
66	0.425438126	0.8470191226
67	0.4245952778	0.8470191226
68	0.4236424511	0.848143982
69	0.4225308229	0.848143982
70	0.4217178919	0.848143982
71	0.4205619394	0.848143982
72	0.4198226833	0.848143982
73	0.4194633987	0.8470191226
74	0.4185200388	0.8470191226
75	0.4176405884	0.8470191226
76	0.4165819193	0.8470191226
77	0.4154586574	0.8470191226
78	0.4140707929	0.8470191226
79	0.4140055435	0.8470191226
80	0.4134817766	0.8470191226
81	0.4120352374	0.8470191226
82	0.4111991649	0.8470191226
83	0.4110067112	0.848143982
84	0.4109490488	0.848143982
85	0.4100501296	0.848143982
86	0.4097228319	0.848143982
87	0.4086121089	0.848143982
88	0.4083687496	0.848143982
89	0.4080711491	0.848143982
90	0.4080255871	0.848143982
91	0.4075583374	0.848143982
92	0.4069769613	0.848143982
93	0.4059251858	0.8492688414
94	0.4048969429	0.848143982
95	0.4037981912	0.8492688414
96	0.4031324657	0.8492688414
97	0.4020256128	0.848143982
98	0.4013972245	0.848143982
99	0.4011041681	0.848143982
100	0.4009966184	0.8470191226
101	0.4001118239	0.8492688414
102	0.3996039478	0.8492688414
103	0.3986862839	0.8492688414
104	0.3981847151	0.848143982
105	0.3971938082	0.8492688414
106	0.3968213748	0.8470191226
107	0.3963774743	0.848143982
108	0.3955828446	0.848143982
109	0.3950437536	0.8492688414
110	0.3946744069	0.8492688414
111	0.3944059327	0.8492688414
112	0.393856858	0.8492688414
113	0.3937572995	0.8492688414
114	0.3930922224	0.8492688414
115	0.3925252692	0.8492688414
116	0.3919413144	0.8492688414
117	0.3913195191	0.8492688414
118	0.3910313524	0.8492688414
119	0.3905110646	0.8492688414
120	0.3899785954	0.8492688414
121	0.3894171988	0.8492688414
122	0.3889584305	0.8492688414
123	0.3884823612	0.8492688414
124	0.3880512228	0.8492688414
125	0.387482411	0.8492688414
126	0.3870091142	0.8492688414
127	0.3866222099	0.8492688414
128	0.3864668467	0.8492688414
129	0.3861568977	0.8492688414
130	0.3858499042	0.8492688414
131	0.3855611324	0.8503937008
132	0.3854687227	0.8503937008
133	0.3852401636	0.8503937008
134	0.3846273926	0.8503937008
135	0.3837853482	0.8503937008
136	0.3832110854	0.8503937008
137	0.3831181361	0.8503937008
138	0.3826628366	0.8503937008
139	0.3824490807	0.8503937008
140	0.3821908136	0.8503937008
141	0.3815385227	0.8503937008
142	0.3813572426	0.8503937008
143	0.3807231571	0.8503937008
144	0.3801120604	0.8503937008
145	0.3798668103	0.8503937008
146	0.3796823244	0.8503937008
147	0.3793469074	0.8503937008
148	0.3789901883	0.8503937008
149	0.3785177391	0.8503937008
150	0.377820499	0.8515185602
151	0.3776247373	0.8515185602
152	0.3774144547	0.8515185602
153	0.376996894	0.8515185602
154	0.3769146224	0.8515185602
155	0.3766587698	0.8515185602
156	0.3762261354	0.8515185602
157	0.3758381583	0.8515185602
158	0.3757330847	0.8515185602
159	0.3756579029	0.8515185602
160	0.3754187098	0.8515185602
161	0.3751253195	0.8515185602
162	0.3746413832	0.8515185602
163	0.3746002297	0.8515185602
164	0.3743187489	0.8515185602
165	0.3739278228	0.8515185602
166	0.3735069339	0.8515185602
167	0.3735034898	0.8515185602
168	0.3732007663	0.8515185602
169	0.3731531511	0.8515185602
170	0.3727290966	0.8515185602
171	0.3725525653	0.8515185602
172	0.372318715	0.8515185602
173	0.3721077142	0.8515185602
174	0.3719752906	0.8515185602
175	0.3719727269	0.8515185602
176	0.3717655225	0.8515185602
177	0.3711655234	0.8515185602
178	0.3707607151	0.8515185602
179	0.3705092414	0.8515185602
180	0.3701065133	0.8503937008
181	0.3697898561	0.8503937008
